"participant_key","participant_kind","side","matchup","duels","wins","losses","total_force_spent","total_force_regen","low_force_deaths","grip_cripples","saber_throw_punishes","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"bot:/botfiles/desann.jkb","0","2","3","22","14","8","26355","25339","8","10","33","2078","12157","2346","9206","100","0","0","0","416","0","52"
"bot:/botfiles/tavion.jkb","0","2","3","13","8","5","7439","6926","4","6","35","561","3136","848","2747","0","0","0","0","114","0","33"
"bot:/botfiles/trandoshan.jkb","0","2","3","12","4","8","40322","39959","8","14","64","2346","18671","2096","16144","0","0","0","0","925","0","140"
"iphash:4d1013d3","2","2","3","9","0","9","106","106","1","11","10","0","0","0","0","0","0","0","0","0","106","0"
"bot:/botfiles/imperial.jkb","0","2","3","18","8","10","37307","36451","10","21","79","2717","16002","2415","15268","150","0","0","0","656","24","75"
"bot:/botfiles/reborn.jkb","0","2","3","30","19","11","61711","60541","10","27","76","4281","29480","3146","23197","70","0","0","0","1388","0","149"
"user:void","1","2","3","81","40","41","54768","50555","33","67","341","0","0","0","0","0","0","0","0","0","54768","0"
"bot:/botfiles/chiss.jkb","0","2","3","7","5","2","2726","2554","0","2","5","138","1582","685","15","0","0","0","0","306","0","0"
"iphash:f794a9d2","2","2","3","2","2","0","419","360","0","0","0","0","0","0","0","0","0","0","0","0","419","0"
"iphash:c7c8a416","2","1","2","1","1","0","308","242","0","0","1","0","0","0","0","0","0","0","0","0","308","0"
"iphash:7d6be969","2","2","2","7","4","3","1155","1007","0","0","5","0","0","0","0","0","0","0","0","0","1155","0"
"iphash:c7c8a416","2","2","3","55","31","24","45472","42502","23","58","332","0","0","0","0","0","0","0","0","0","45472","0"
"iphash:fa31973a","2","2","3","29","10","19","24856","23273","16","28","144","0","0","0","0","0","0","0","0","0","24856","0"
"user:jundon","1","2","3","12","12","0","9163","8112","0","3","63","0","0","0","0","0","0","0","0","0","9163","0"
"iphash:7d6be969","2","2","3","46","20","26","44126","42367","26","41","300","0","0","0","0","0","0","0","0","0","44126","0"
"bot:/botfiles/shadowtrooper.jkb","0","2","3","2","1","1","2212","2166","1","0","15","135","1194","127","732","0","0","0","0","24","0","0"
"user:socrates","1","2","2","8","6","2","4228","3866","1","0","12","0","0","0","0","0","0","0","0","0","4228","0"
"iphash:d4cfd1d8","2","1","2","3","0","3","980","685","3","0","11","0","0","0","0","0","0","0","0","0","980","0"
"user:socrates","1","2","3","43","18","25","31820","28911","25","42","193","0","0","0","0","0","0","0","0","0","31820","0"
"iphash:4a47a0f7","2","2","3","1","1","0","271","171","0","0","3","0","0","0","0","0","0","0","0","0","271","0"
"bot:/botfiles/gran.jkb","0","1","2","14","11","3","9168","8104","2","5","14","92","1170","0","0","0","648","276","4864","2118","0","0"
"bot:/botfiles/chiss.jkb","0","2","2","14","2","12","10608","10550","9","0","28","1226","4807","774","854","320","0","0","0","2363","240","24"
"iphash:c984b5ee","2","1","2","6","1","5","703","600","2","4","17","37","53","0","0","0","99","252","259","3","0","0"
"bot:/botfiles/gran.jkb","0","1","1","4","2","2","4281","4127","2","0","33","113","251","0","1","0","11","125","3710","70","0","0"
"iphash:c984b5ee","2","1","1","1","0","1","484","484","1","0","1","0","29","0","0","0","98","12","345","0","0","0"
"user:socrates","1","1","2","8","7","1","4076","3416","1","0","41","0","0","0","0","0","0","0","0","0","4076","0"
"user:void","1","2","2","15","3","12","10968","10305","8","0","73","0","0","0","0","0","0","0","0","0","10968","0"
"user:socrates","1","1","1","19","13","6","32367","31086","6","0","258","0","0","0","0","0","0","0","0","0","32367","0"
"user:void","1","1","1","23","12","11","25837","24891","10","0","213","0","0","0","0","0","0","0","0","0","25837","0"
"user:void","1","1","2","4","3","1","1600","1378","1","1","13","0","0","0","0","0","0","0","0","0","1600","0"
"iphash:eee2a3ba","2","2","3","1","1","0","390","293","0","1","4","0","0","0","0","0","0","0","0","0","390","0"
"iphash:7d6be969","2","1","1","13","3","10","20506","19831","9","0","150","0","0","0","0","0","0","0","0","0","20506","0"
"bot:/botfiles/reborn.jkb","0","2","2","1","0","1","292","289","1","0","3","0","71","0","95","0","0","0","0","126","0","0"
"iphash:7d6be969","2","1","2","9","7","2","9027","8610","2","2","64","0","0","0","0","0","0","0","0","0","9027","0"
"user:goon","1","2","3","5","0","5","5448","5433","5","2","34","0","0","0","0","0","0","0","0","0","5448","0"
